date,temperature,pressure,humidity,wind_dir,wind_speed,coluds_hight,rain,snow,fog,hail,drizzle,precipitation,ice_pellets,other
20.03.2021 18:00,7.8,770.0,85,9,10.0,8,0,0,0,0,0,0,0,0
20.03.2021 19:00,7.7,770.5,82,4,5.0,9,0,0,0,0,0,0,0,0
20.03.2021 20:00,7.4,771.1,78,9,8.0,6,0,0,0,0,0,0,0,0
20.03.2021 21:00,6.8,771.7,76,9,8.0,9,0,0,0,0,0,0,0,0
20.03.2021 22:00,6.7,772.0,71,4,6.0,9,0,0,0,0,0,0,0,0
20.03.2021 23:00,6.4,772.1,75,4,7.0,9,0,0,0,0,0,0,0,0
21.03.2021 00:00,6.2,772.0,74,4,6.0,9,0,0,0,0,0,0,0,0
21.03.2021 01:00,6.0,772.2,76,4,5.0,9,0,0,0,0,0,0,0,0
21.03.2021 02:00,5.6,772.0,75,4,6.0,9,0,0,0,0,0,0,0,0
21.03.2021 03:00,5.4,771.8,71,4,6.0,9,0,0,0,0,0,0,0,0
21.03.2021 04:00,5.5,771.7,72,4,5.0,9,0,0,0,0,0,0,0,0
21.03.2021 05:00,5.4,771.8,69,4,4.0,9,0,0,0,0,0,0,0,0
21.03.2021 06:00,5.7,771.9,72,7,5.0,6,0,0,0,0,0,0,0,0
21.03.2021 07:00,5.6,772.0,73,7,4.0,6,0,0,0,0,0,0,0,0
21.03.2021 08:00,6.1,771.8,71,2,4.0,6,0,0,0,0,0,0,0,0
21.03.2021 09:00,6.0,772.2,72,7,6.0,6,0,0,0,0,0,0,0,0
21.03.2021 10:00,6.3,772.1,70,4,5.0,6,0,0,0,0,0,0,0,0
21.03.2021 11:00,6.6,772.0,67,4,6.0,6,0,0,0,0,0,0,0,0
21.03.2021 12:00,7.6,771.5,63,7,5.0,6,0,0,0,0,0,0,0,0
21.03.2021 13:00,8.7,770.9,58,4,5.0,6,0,0,0,0,0,0,0,0
21.03.2021 14:00,8.6,770.6,59,4,5.0,9,0,0,0,0,0,0,0,0
21.03.2021 15:00,9.4,770.1,58,9,4.0,9,0,0,0,0,0,0,0,0
21.03.2021 16:00,9.1,769.7,59,0,0.0,9,0,0,0,0,0,0,0,0
21.03.2021 17:00,9.4,769.3,57,9,2.0,9,0,0,0,0,0,0,0,0
21.03.2021 18:00,6.6,769.3,71,6,4.0,10,0,0,0,0,0,0,0,0
21.03.2021 19:00,5.1,769.3,78,1,3.0,10,0,0,0,0,0,0,0,0
21.03.2021 20:00,4.4,769.4,83,5,1.0,10,0,0,0,0,0,0,0,0
21.03.2021 21:00,3.4,769.3,84,14,1.0,9,0,0,0,0,0,0,0,0
21.03.2021 22:00,1.2,768.9,81,12,1.0,9,0,0,0,0,0,0,0,0
21.03.2021 23:00,1.3,768.6,90,5,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 00:00,0.7,768.3,92,5,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 01:00,-0.1,768.1,94,5,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 02:00,-1.0,767.6,94,4,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 03:00,-0.3,767.1,96,9,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 04:00,-1.5,766.8,95,5,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 05:00,-1.5,766.4,96,5,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 06:00,-2.1,765.9,96,9,2.0,10,0,0,0,0,0,0,0,0
22.03.2021 07:00,-1.6,765.7,96,9,2.0,10,0,0,0,0,0,0,0,0
22.03.2021 08:00,2.0,765.7,96,5,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 09:00,3.4,765.7,87,14,2.0,10,0,0,0,0,0,0,0,0
22.03.2021 10:00,7.4,765.3,69,1,2.0,10,0,0,0,0,0,0,0,0
22.03.2021 11:00,10.3,765.0,56,3,3.0,10,0,0,0,0,0,0,0,0
22.03.2021 12:00,11.5,764.8,52,1,2.0,10,0,0,0,0,0,0,0,0
22.03.2021 13:00,11.9,764.8,53,3,3.0,10,0,0,0,0,0,0,0,0
22.03.2021 14:00,12.0,764.5,54,6,3.0,10,0,0,0,0,0,0,0,0
22.03.2021 15:00,13.5,764.1,49,7,3.0,9,0,0,0,0,0,0,0,0
22.03.2021 16:00,13.4,764.0,52,2,4.0,10,0,0,0,0,0,0,0,0
22.03.2021 17:00,12.4,764.0,54,2,2.0,9,0,0,0,0,0,0,0,0
22.03.2021 18:00,12.3,764.2,57,2,3.0,9,0,0,0,0,0,0,0,0
22.03.2021 19:00,10.2,764.5,63,2,1.0,9,0,0,0,0,0,0,0,0
22.03.2021 20:00,8.2,764.7,74,3,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 21:00,8.4,764.6,71,3,1.0,10,0,0,0,0,0,0,0,0
22.03.2021 22:00,8.1,764.3,70,10,3.0,10,0,0,0,0,0,0,0,0
22.03.2021 23:00,7.6,763.9,72,10,4.0,10,0,0,0,0,0,0,0,0
23.03.2021 00:00,5.8,763.9,74,5,2.0,10,0,0,0,0,0,0,0,0
23.03.2021 01:00,4.1,763.8,85,14,1.0,10,0,0,0,0,0,0,0,0
23.03.2021 02:00,2.5,763.4,88,16,1.0,10,0,0,0,0,0,0,0,0
23.03.2021 03:00,1.6,763.0,90,14,1.0,10,0,0,0,0,0,0,0,0
23.03.2021 04:00,4.0,762.4,77,13,1.0,10,0,0,0,0,0,0,0,0
23.03.2021 05:00,5.4,762.0,86,1,2.0,10,0,0,0,0,0,0,0,0
23.03.2021 06:00,6.1,761.5,88,1,5.0,10,0,0,0,0,0,0,0,0
23.03.2021 07:00,7.2,761.2,84,1,4.0,6,0,0,0,0,0,0,0,0
23.03.2021 08:00,7.6,760.8,79,1,4.0,6,0,0,0,0,0,0,0,0
23.03.2021 09:00,9.0,760.3,70,3,7.0,9,0,0,0,0,0,0,0,0
23.03.2021 10:00,9.6,759.4,59,3,10.0,10,0,0,0,0,0,0,0,0
23.03.2021 11:00,9.8,759.3,62,8,9.0,6,0,0,0,0,0,0,0,0
23.03.2021 12:00,9.8,758.8,61,3,9.0,9,0,0,0,0,0,0,0,0
23.03.2021 13:00,9.0,758.2,64,3,7.0,6,0,0,0,0,0,0,0,0
23.03.2021 14:00,9.2,757.4,62,3,9.0,9,0,0,0,0,0,0,0,0
23.03.2021 15:00,9.4,757.0,59,8,8.0,9,0,0,0,0,0,0,0,0
23.03.2021 16:00,10.0,756.1,58,10,5.0,9,0,0,0,0,0,0,0,0
23.03.2021 17:00,9.8,755.3,59,3,11.0,10,0,0,0,0,0,0,0,0
23.03.2021 18:00,9.5,755.1,63,8,9.0,10,0,0,0,0,0,0,0,0
23.03.2021 19:00,9.0,755.3,66,3,12.0,10,0,0,0,0,0,0,0,0
23.03.2021 20:00,9.1,755.9,69,3,6.0,6,0,0,0,0,0,0,0,0
23.03.2021 21:00,8.6,756.1,78,10,7.0,6,0,0,0,0,0,0,0,0
23.03.2021 22:00,8.2,756.3,75,10,4.0,7,0,0,0,0,0,0,0,0
23.03.2021 23:00,6.9,756.8,68,8,5.0,10,0,0,0,0,0,0,0,0
24.03.2021 00:00,4.5,756.9,74,3,3.0,10,0,0,0,0,0,0,0,0
24.03.2021 01:00,5.7,757.4,70,3,4.0,10,0,0,0,0,0,0,0,0
24.03.2021 02:00,4.1,757.3,71,1,4.0,10,0,0,0,0,0,0,0,0
24.03.2021 03:00,3.4,757.5,77,1,3.0,10,0,0,0,0,0,0,0,0
24.03.2021 04:00,3.4,757.4,81,1,3.0,10,0,0,0,0,0,0,0,0
24.03.2021 05:00,3.0,757.4,83,6,4.0,9,0,0,0,0,0,0,0,0
24.03.2021 06:00,3.0,757.5,83,1,4.0,7,0,0,0,0,0,0,0,0
24.03.2021 07:00,4.8,757.6,78,1,6.0,7,0,0,0,0,0,0,0,0
24.03.2021 08:00,5.3,757.8,77,1,5.0,10,0,0,0,0,0,0,0,0
24.03.2021 09:00,6.8,757.9,71,1,5.0,10,0,0,0,0,0,0,0,0
24.03.2021 10:00,7.5,757.8,67,1,7.0,6,0,0,0,0,0,0,0,0
24.03.2021 11:00,8.4,757.6,62,3,6.0,9,0,0,0,0,0,0,0,0
24.03.2021 12:00,9.8,757.3,49,8,7.0,9,0,0,0,0,0,0,0,0
24.03.2021 13:00,10.2,756.8,47,3,9.0,9,0,0,0,0,0,0,0,0
24.03.2021 14:00,11.4,756.6,47,8,8.0,9,0,0,0,0,0,0,0,0
24.03.2021 15:00,9.4,756.4,49,8,10.0,9,0,0,0,0,0,0,0,0
24.03.2021 16:00,10.7,755.9,46,8,9.0,7,0,0,0,0,0,0,0,0
24.03.2021 17:00,9.9,755.5,50,3,8.0,10,0,0,0,0,0,0,0,0
24.03.2021 18:00,8.7,756.0,62,3,9.0,9,0,0,0,0,0,0,0,0
24.03.2021 19:00,6.9,756.1,78,3,7.0,7,0,0,0,0,0,0,0,0
24.03.2021 20:00,6.4,756.3,76,3,5.0,7,0,0,0,0,0,0,0,0
24.03.2021 21:00,5.4,756.6,79,3,3.0,10,0,0,0,0,0,0,0,0
24.03.2021 22:00,4.8,756.7,77,1,3.0,10,0,0,0,0,0,0,0,0
24.03.2021 23:00,4.9,756.7,75,3,3.0,10,0,0,0,0,0,0,0,0
25.03.2021 00:00,4.5,756.9,74,3,3.0,10,0,0,0,0,0,0,0,0
25.03.2021 01:00,4.6,756.9,73,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 02:00,4.2,756.8,79,0,0.0,9,0,0,0,0,0,0,0,0
25.03.2021 03:00,4.0,756.8,82,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 04:00,4.3,756.4,81,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 05:00,4.3,756.5,82,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 06:00,4.0,756.4,86,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 07:00,4.8,756.3,86,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 08:00,4.8,756.1,85,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 09:00,7.0,755.9,74,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 10:00,7.6,755.8,71,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 11:00,9.0,755.4,69,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 12:00,9.4,754.8,64,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 13:00,11.2,754.4,60,0,0.0,9,0,0,0,0,0,0,0,0
25.03.2021 14:00,10.7,753.7,58,0,0.0,9,0,0,0,0,0,0,0,0
25.03.2021 15:00,10.3,753.5,62,0,0.0,9,0,0,0,0,0,0,0,0
25.03.2021 16:00,10.7,753.0,62,0,0.0,9,0,0,0,0,0,0,0,0
25.03.2021 17:00,10.0,752.4,66,0,0.0,9,0,0,0,0,0,0,0,0
25.03.2021 18:00,9.3,752.1,71,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 19:00,8.3,751.6,77,0,0.0,6,0,0,0,0,0,0,0,0
25.03.2021 20:00,8.0,751.3,79,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 21:00,7.8,750.5,83,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 22:00,8.0,750.4,80,0,0.0,10,0,0,0,0,0,0,0,0
25.03.2021 23:00,7.5,750.0,83,0,0.0,8,0,0,0,0,0,0,0,0
26.03.2021 00:00,3.3,748.8,78,3,3.0,10,0,0,0,0,0,0,0,0
26.03.2021 01:00,7.1,749.0,85,1,7.0,9,0,0,0,0,0,0,0,0
26.03.2021 02:00,7.3,748.5,85,1,7.0,8,0,0,0,0,0,0,0,0
26.03.2021 03:00,7.4,747.7,83,1,7.0,9,0,0,0,0,0,0,0,0
26.03.2021 04:00,6.7,746.9,88,1,7.0,8,0,0,0,0,0,0,0,0
26.03.2021 05:00,6.8,745.9,87,1,8.0,8,0,0,0,0,0,0,0,0
26.03.2021 06:00,6.9,745.1,84,1,8.0,9,0,0,0,0,0,0,0,0
26.03.2021 07:00,7.0,744.3,81,1,10.0,10,0,0,0,0,0,0,0,0
26.03.2021 08:00,7.1,744.0,85,1,11.0,8,0,0,0,0,0,0,0,0
26.03.2021 09:00,7.5,743.6,85,1,10.0,8,0,0,0,0,1,0,0,0
26.03.2021 10:00,7.0,743.5,87,1,10.0,8,0,0,0,0,0,0,0,0
26.03.2021 11:00,5.9,744.3,82,10,5.0,7,0,0,0,0,0,0,0,0
26.03.2021 12:00,5.5,744.9,82,8,8.0,6,0,0,0,0,0,0,0,0
26.03.2021 13:00,8.1,745.3,60,2,6.0,9,0,0,0,0,0,0,0,0
26.03.2021 14:00,8.5,745.6,48,10,7.0,9,0,0,0,0,0,0,0,0
26.03.2021 15:00,6.3,746.5,58,8,7.0,7,0,0,0,0,0,0,0,0
26.03.2021 16:00,6.8,746.6,56,8,9.0,9,0,0,0,0,0,0,0,0
26.03.2021 17:00,6.2,746.7,58,8,8.0,10,0,0,0,0,0,0,0,0
26.03.2021 18:00,5.6,747.1,60,8,6.0,10,0,0,0,0,0,0,0,0
26.03.2021 19:00,4.5,747.8,62,8,4.0,10,0,0,0,0,0,0,0,0
26.03.2021 20:00,3.7,748.3,65,3,5.0,10,0,0,0,0,0,0,0,0
26.03.2021 21:00,3.4,748.5,68,3,5.0,10,0,0,0,0,0,0,0,0
26.03.2021 22:00,3.5,748.8,72,3,6.0,10,0,0,0,0,0,0,0,0
26.03.2021 23:00,2.9,748.6,77,1,4.0,10,0,0,0,0,0,0,0,0
27.03.2021 00:00,6.7,751.3,87,1,14.0,8,0,0,0,0,0,0,0,0
27.03.2021 01:00,2.6,748.9,79,6,2.0,10,0,0,0,0,0,0,0,0
27.03.2021 02:00,1.3,749.8,84,11,1.0,10,0,0,0,0,0,0,0,0
27.03.2021 03:00,1.9,750.2,83,2,3.0,10,0,0,0,0,0,0,0,0
27.03.2021 04:00,2.4,750.9,77,7,3.0,10,0,0,0,0,0,0,0,0
27.03.2021 05:00,2.6,751.6,70,2,7.0,10,0,0,0,0,0,0,0,0
27.03.2021 06:00,2.4,752.7,71,10,1.0,10,0,0,0,0,0,0,0,0
27.03.2021 07:00,3.2,753.7,69,2,4.0,10,0,0,0,0,0,0,0,0
27.03.2021 08:00,4.3,754.5,64,10,4.0,10,0,0,0,0,0,0,0,0
27.03.2021 09:00,6.2,755.4,58,2,5.0,10,0,0,0,0,0,0,0,0
27.03.2021 10:00,7.6,756.3,52,2,6.0,9,0,0,0,0,0,0,0,0
27.03.2021 11:00,8.2,757.0,52,7,6.0,9,0,0,0,0,0,0,0,0
27.03.2021 12:00,8.9,757.4,48,4,5.0,9,0,0,0,0,0,0,0,0
27.03.2021 13:00,8.5,757.6,46,7,2.0,9,0,0,0,0,0,0,0,0
27.03.2021 14:00,8.8,757.6,40,8,5.0,7,0,0,0,0,0,0,0,0
27.03.2021 15:00,9.0,757.6,40,10,5.0,7,0,0,0,0,0,0,0,0
27.03.2021 16:00,7.6,757.7,48,3,7.0,7,0,0,0,0,0,0,0,0
27.03.2021 17:00,6.8,757.4,60,1,8.0,7,0,0,0,0,0,0,0,0
27.03.2021 18:00,6.3,756.9,64,1,6.0,3,0,0,0,0,0,0,0,0
27.03.2021 19:00,6.2,756.4,63,1,5.0,9,0,0,0,0,0,0,0,0
27.03.2021 20:00,6.2,755.5,70,1,9.0,9,0,0,0,0,0,0,0,0
27.03.2021 21:00,6.6,754.1,77,1,11.0,6,0,0,0,0,0,0,0,0
27.03.2021 22:00,6.4,753.4,85,1,10.0,8,0,0,0,0,0,0,0,0
27.03.2021 23:00,6.4,752.5,85,1,11.0,8,0,0,0,0,0,0,0,0
28.03.2021 00:00,12.1,749.7,79,3,8.0,9,0,0,0,0,0,0,0,0
28.03.2021 01:00,6.7,751.0,89,1,12.0,8,0,0,0,0,0,0,0,0
28.03.2021 02:00,6.8,749.9,91,1,6.0,5,0,0,0,0,0,0,0,0
28.03.2021 04:00,7.1,748.5,91,1,10.0,8,1,0,0,0,0,0,0,1
28.03.2021 05:00,9.1,748.6,81,3,7.0,8,0,0,0,0,0,0,0,0
28.03.2021 06:00,8.4,748.6,86,3,7.0,6,0,0,0,0,0,0,0,0
28.03.2021 07:00,8.1,749.3,75,8,5.0,10,0,0,0,0,0,0,0,0
28.03.2021 08:00,8.3,750.4,62,10,7.0,7,0,0,0,0,0,0,0,0
28.03.2021 09:00,8.0,751.5,55,0,0.0,10,0,0,0,0,0,0,0,0
28.03.2021 10:00,7.9,752.3,56,2,6.0,10,0,0,0,0,0,0,0,0
28.03.2021 11:00,9.0,752.9,51,10,7.0,10,0,0,0,0,0,0,0,0
28.03.2021 12:00,9.7,753.1,46,10,9.0,7,0,0,0,0,0,0,0,0
28.03.2021 13:00,10.0,753.3,49,10,7.0,9,0,0,0,0,0,0,0,0
28.03.2021 14:00,10.4,753.1,47,8,9.0,9,0,0,0,0,0,0,0,0
28.03.2021 15:00,10.9,752.7,58,1,8.0,9,0,0,0,0,0,0,0,0
28.03.2021 16:00,9.9,752.5,64,3,9.0,6,0,0,0,0,0,0,0,0
28.03.2021 17:00,9.6,751.9,71,3,9.0,6,0,0,0,0,0,0,0,0
28.03.2021 18:00,9.0,751.4,85,1,6.0,6,0,0,0,0,1,0,0,0
28.03.2021 19:00,7.7,750.1,92,1,7.0,5,0,0,0,0,0,0,0,0
28.03.2021 20:00,8.9,749.0,93,1,9.0,5,0,0,0,0,0,0,0,0
28.03.2021 21:00,9.2,748.4,94,1,6.0,8,0,0,0,0,0,0,0,0
28.03.2021 22:00,12.4,748.3,78,8,9.0,9,0,0,0,0,0,0,0,0
28.03.2021 23:00,12.4,748.9,76,3,8.0,10,0,0,0,0,0,0,0,0
29.03.2021 00:00,11.9,749.5,79,3,8.0,10,0,0,0,0,0,0,0,0
29.03.2021 01:00,12.6,761.2,77,8,10.0,10,0,0,0,0,0,0,0,0
29.03.2021 02:00,12.5,749.8,78,1,7.0,9,0,0,0,0,0,0,0,0
29.03.2021 03:00,12.8,749.8,77,3,7.0,9,0,0,0,0,0,0,0,0
29.03.2021 04:00,13.1,749.8,74,3,8.0,9,0,0,0,0,0,0,0,0
29.03.2021 05:00,13.0,750.1,73,3,7.0,9,0,0,0,0,0,0,0,0
29.03.2021 06:00,13.0,750.5,74,0,0.0,10,0,0,0,0,0,0,0,0
29.03.2021 07:00,13.1,751.3,75,3,7.0,9,0,0,0,0,0,0,0,0
29.03.2021 08:00,13.8,752.2,69,8,7.0,9,0,0,0,0,0,0,0,0
29.03.2021 09:00,14.1,753.2,67,10,5.0,10,0,0,0,0,0,0,0,0
29.03.2021 10:00,15.4,754.2,63,8,7.0,10,0,0,0,0,0,0,0,0
29.03.2021 11:00,15.9,754.9,61,8,7.0,7,0,0,0,0,0,0,0,0
29.03.2021 12:00,16.3,755.7,62,3,6.0,9,0,0,0,0,0,0,0,0
29.03.2021 13:00,16.8,756.4,59,3,8.0,9,0,0,0,0,0,0,0,0
29.03.2021 14:00,17.0,757.1,59,8,9.0,9,0,0,0,0,0,0,0,0
29.03.2021 15:00,16.6,757.2,65,3,8.0,9,0,0,0,0,0,0,0,0
29.03.2021 16:00,16.3,757.6,66,3,8.0,9,0,0,0,0,0,0,0,0
29.03.2021 17:00,16.1,757.6,70,3,8.0,9,0,0,0,0,0,0,0,0
29.03.2021 18:00,16.1,757.9,71,3,8.0,7,0,0,0,0,0,0,0,0
29.03.2021 19:00,14.8,758.6,76,3,10.0,9,0,0,0,0,0,0,0,0
29.03.2021 20:00,14.1,759.4,79,3,7.0,9,0,0,0,0,0,0,0,0
29.03.2021 21:00,13.7,759.8,81,3,8.0,9,0,0,0,0,0,0,0,0
29.03.2021 22:00,13.5,759.6,79,3,11.0,10,0,0,0,0,0,0,0,0
29.03.2021 23:00,13.0,760.3,80,3,12.0,10,0,0,0,0,0,0,0,0
30.03.2021 00:00,12.8,760.7,78,3,10.0,10,0,0,0,0,0,0,0,0
30.03.2021 01:00,11.3,763.9,73,3,4.0,10,0,0,0,0,0,0,0,0
30.03.2021 02:00,12.8,761.7,74,3,9.0,10,0,0,0,0,0,0,0,0
30.03.2021 03:00,12.5,762.1,73,3,4.0,10,0,0,0,0,0,0,0,0
30.03.2021 04:00,10.7,762.4,78,6,3.0,10,0,0,0,0,0,0,0,0
30.03.2021 05:00,10.3,762.7,80,6,5.0,10,0,0,0,0,0,0,0,0
30.03.2021 06:00,10.9,762.6,78,8,8.0,10,0,0,0,0,0,0,0,0
30.03.2021 07:00,12.1,762.9,75,3,8.0,10,0,0,0,0,0,0,0,0
30.03.2021 08:00,11.4,763.6,77,7,2.0,10,0,0,0,0,0,0,0,0
30.03.2021 09:00,12.6,763.8,71,8,5.0,10,0,0,0,0,0,0,0,0
30.03.2021 10:00,14.4,763.7,64,8,9.0,10,0,0,0,0,0,0,0,0
30.03.2021 11:00,14.5,764.0,59,8,9.0,10,0,0,0,0,0,0,0,0
30.03.2021 12:00,13.9,764.4,58,10,6.0,10,0,0,0,0,0,0,0,0
30.03.2021 13:00,13.9,764.2,59,3,6.0,10,0,0,0,0,0,0,0,0
30.03.2021 14:00,13.6,764.2,65,1,4.0,10,0,0,0,0,0,0,0,0
30.03.2021 15:00,13.7,763.9,65,1,6.0,10,0,0,0,0,0,0,0,0
30.03.2021 16:00,14.3,763.8,64,8,5.0,10,0,0,0,0,0,0,0,0
30.03.2021 17:00,13.8,763.7,69,8,7.0,10,0,0,0,0,0,0,0,0
